country,GDP,Population,LifeExp,ChildMortality,MaternalMortality,Year
Afghanistan,19835289287.93823,32688267.42857143,62.68366666666666,76.48571428571428,462.4,2012-2016
Albania,12325679903.40935,2894424.75,77.50085714285714,10.325,29.5,2012-2016
Algeria,184160789265.7357,38990154.428571425,75.47666666666667,25.414285714285715,143.4,2012-2016
Andorra,3083108712.9154115,79117.0,,3.5500000000000003,,2012-2016
Angola,114622277803.9126,27411986.166666668,60.757799999999996,92.2,501.25,2012-2016
Antigua and Barbuda,1340312623.45679,99395.66666666667,76.0492,8.2,,2012-2016
Argentina,568587973230.1947,43192402.5,76.2518,11.783333333333333,53.75,2012-2016
Armenia,10448521693.87474,2899482.5555555555,73.89962499999999,15.61111111111111,29.857142857142858,2012-2016
Australia,1375137307628.97,23303101.75,82.14076655052266,4.1125,6.166666666666667,2012-2016
Austria,410144749806.50775,8569724.57142857,80.99593495934961,3.8714285714285714,4.0,2012-2016
Azerbaijan,57103129860.53904,9410211.444444444,71.47175,30.866666666666667,25.857142857142858,2012-2016
Bahamas,11033101250.0,379034.875,75.22485714285713,9.15,82.83333333333333,2012-2016
Bahrain,31567929331.307,1354642.4285714286,76.52699999999999,7.771428571428571,15.4,2012-2016
Bangladesh,178726758598.03424,159348248.14285713,71.5905,38.942857142857136,201.4,2012-2016
Barbados,4606985140.117515,283140.0,75.49616666666667,13.414285714285715,29.0,2012-2016
Belarus,60759610765.1315,9486060.888888888,72.02804878048782,4.655555555555556,4.571428571428571,2012-2016
Belgium,494141176350.3359,11249634.333333334,80.84926829268292,4.05,7.0,2012-2016
Belize,1687703842.857143,351813.0,70.0045,16.342857142857145,30.0,2012-2016
Benin,8589350989.568902,10263360.57142857,60.20099999999999,105.97142857142856,423.2,2012-2016
"Bolivia, Plurinational State of",29850331972.43914,10482774.875,67.85199999999999,40.025,227.83333333333334,2012-2016
Bosnia and Herzegovina,17542177876.071186,3563165.8333333335,76.564,6.133333333333334,11.75,2012-2016
Botswana,15554769335.742516,2189585.5,64.69560000000001,41.46666666666666,138.75,2012-2016
Brazil,2179224255722.033,203840324.0,74.823,16.52857142857143,52.6,2012-2016
Brunei Darussalam,15116634313.752068,414433.8333333333,76.95060000000001,10.5,23.75,2012-2016
Bulgaria,53644977841.81106,7252098.375,74.25644599303136,9.175,10.833333333333334,2012-2016
Burkina Faso,10947621679.900509,17240833.875,58.648,98.35,397.0,2012-2016
Burundi,2699799540.234036,9706909.875,56.08228571428571,75.67500000000001,770.1666666666666,2012-2016
Cambodia,16180168748.598898,15122977.5,67.74714285714286,36.05,180.66666666666666,2012-2016
Cameroon,32387981501.55685,22550906.666666668,57.13439999999999,92.26666666666665,614.0,2012-2016
Canada,1689726258170.0798,35464105.28571428,81.82261788617889,5.371428571428572,7.4,2012-2016
Cape Verde,1741630052.370248,529897.1666666666,72.4402,20.349999999999998,45.0,2012-2016
Central African Republic,1779971308.4323986,4550877.0,50.6136,132.23333333333332,875.75,2012-2016
Chad,11682237238.61706,13579823.285714285,51.923,134.6142857142857,910.6,2012-2016
Chile,256534271086.15057,17586720.14285714,79.01616666666666,8.085714285714285,23.6,2012-2016
China,9892017672467.34,1363761428.5714285,75.81383333333333,11.928571428571429,30.0,2012-2016
Colombia,318344920538.7292,47300558.0,73.761375,16.844444444444445,68.14285714285714,2012-2016
Comoros,607828219.2444018,759751.2857142857,63.02483333333334,75.68571428571428,354.8,2012-2016
Congo,11294045193.249624,4860681.285714285,62.967499999999994,53.92857142857143,471.0,2012-2016
"Congo, the Democratic Republic of the",31566730729.08506,72426670.875,58.230999999999995,103.675,749.5,2012-2016
Cook Islands,,,,,,2012-2016
Costa Rica,47931164749.815506,4715317.0,79.22928571428572,9.6,27.5,2012-2016
Croatia,55799601689.67733,4242052.428571428,77.16585365853659,4.985714285714286,9.0,2012-2016
Cuba,79519475000.0,11442688.333333334,79.43520000000001,5.616666666666666,40.25,2012-2016
Cyprus,22327844922.222965,1156988.0,80.166,2.966666666666667,7.0,2012-2016
Czech Republic,203742960429.67032,10542353.0,78.39707317073172,3.1666666666666665,4.0,2012-2016
C̫te d'Ivoire,33932464271.651966,22835901.0,52.52140000000001,96.21666666666668,678.25,2012-2016
Denmark,325004219029.59534,5637731.625,80.02229965156793,4.1875,7.0,2012-2016
Djibouti,1562681094.7044752,919461.5,61.9464,66.85,241.5,2012-2016
Dominica,531794037.0370371,72975.33333333333,,29.666666666666668,,2012-2016
Dominican Republic,66324638057.97685,10401909.714285715,73.38466666666666,32.12857142857143,94.6,2012-2016
Ecuador,91821692125.0,15781333.0,75.67257142857144,16.0625,71.16666666666667,2012-2016
Egypt,278671729179.1839,90807303.375,70.92714285714285,25.312499999999996,36.333333333333336,2012-2016
El Salvador,22325859428.57143,6278984.428571428,72.82133333333333,16.442857142857143,55.8,2012-2016
Equatorial Guinea,17165872376.002466,1152721.8333333333,57.160199999999996,97.81666666666666,352.5,2012-2016
Estonia,23171876663.67765,1320988.125,76.58327526132403,3.625,9.166666666666666,2012-2016
"Eswatini, the Kingdom of",4318554579.914126,1307345.6666666667,56.120400000000004,61.0,400.5,2012-2016
Ethiopia,60766364210.65912,98655391.33333333,64.4548,66.28333333333333,397.0,2012-2016
Fiji,4456702724.194612,889254.6666666666,69.9534,24.55,31.5,2012-2016
Finland,253720543290.58218,5466765.333333333,81.20878048780493,2.483333333333334,3.0,2012-2016
France,2639360251609.1455,66224832.85714286,82.1780487804878,4.157142857142857,8.8,2012-2016
Gabon,15992727492.148117,1897483.1666666667,65.16120000000001,53.56666666666667,302.0,2012-2016
Gambia,925586279.8018919,1912587.0,60.519166666666656,70.91428571428573,729.8,2012-2016
Georgia,14762478616.037624,3785312.5,72.88728571428571,13.4125,38.166666666666664,2012-2016
Germany,3590720767633.954,81508734.0,80.56504065040649,3.928571428571428,6.4,2012-2016
Ghana,42717242248.39713,27277506.833333332,62.153,56.75,321.5,2012-2016
Greece,230063526486.73297,10911607.285714285,80.96097560975609,4.5285714285714285,3.0,2012-2016
Grenada,954332823.111111,106619.16666666667,73.36980000000001,15.983333333333333,27.0,2012-2016
Guatemala,57500827553.59778,15764820.75,72.51114285714286,31.312499999999996,99.5,2012-2016
Guinea,8593587230.33115,11803199.42857143,58.52133333333333,95.65714285714286,695.4,2012-2016
Guinea-Bissau,1073251071.8199155,1721252.142857143,56.34300000000001,96.00000000000001,555.8,2012-2016
Guyana,3212390050.938427,765706.8333333334,66.429,33.71666666666667,234.25,2012-2016
Haiti,8370422064.812523,10638846.0,62.730399999999996,75.63333333333334,367.0,2012-2016
Honduras,19746626953.82163,8786598.285714285,73.06216666666667,20.514285714285712,138.4,2012-2016
Hungary,131706263264.477,9874016.142857144,75.28943089430895,5.299999999999999,16.0,2012-2016
Iceland,16819335162.927225,326993.0,82.34634146341463,2.4125,3.6666666666666665,2012-2016
India,2116266518209.123,1301315469.0,67.99480000000001,45.61666666666667,185.25,2012-2016
Indonesia,867062662215.0312,254093719.57142857,68.70483333333334,28.85714285714286,144.0,2012-2016
"Iran, Islamic Republic of",457517927990.89307,78850125.5,75.41780000000001,16.383333333333336,25.75,2012-2016
Iraq,195051132846.32672,34468548.625,69.19157142857144,33.6625,50.5,2012-2016
Ireland,275371166527.4687,4691998.166666667,81.25121951219512,3.75,8.0,2012-2016
Israel,304315777820.0575,8304033.333333333,82.07463414634145,3.9000000000000004,5.0,2012-2016
Italy,2015307946914.1042,60249959.71428572,82.5239837398374,3.6285714285714286,4.0,2012-2016
Jamaica,14346387501.658527,2861138.1428571427,75.57900000000001,16.7,91.0,2012-2016
Japan,5285411182948.776,127396788.5,83.31836236933798,2.95,5.833333333333333,2012-2016
Jordan,36099748931.11633,8922133.333333334,74.0314,18.416666666666668,58.75,2012-2016
Kazakhstan,167399671707.53955,16783683.454545453,69.5211463414634,17.30909090909091,20.0,2012-2016
Kenya,59528619804.45991,45892224.0,65.57716666666666,51.00000000000001,548.4,2012-2016
Kiribati,183485116.61382,111467.66666666667,65.9598,58.51666666666667,95.0,2012-2016
"Korea, Democratic People's Republic of",,25176645.833333332,71.12219999999999,22.0,86.25,2012-2016
"Korea, Republic of",1283062449100.459,50495525.875,81.13519163763067,3.7125,13.0,2012-2016
Kuwait,142744739398.7065,3816882.8333333335,74.45680000000002,8.983333333333334,4.0,2012-2016
Kyrgyzstan,6460717722.573156,5749555.555555556,70.02682926829267,25.211111111111112,81.85714285714286,2012-2016
Lao People's Democratic Republic,11573462891.62776,6499822.222222222,65.35575000000001,72.87777777777778,253.0,2012-2016
Latvia,28325126745.806335,2002301.0,74.0630081300813,5.700000000000001,18.2,2012-2016
Lebanon,46956355741.30302,5474951.0,79.13166666666667,8.742857142857144,16.4,2012-2016
Lesotho,2542613079.1589,2160813.1666666665,53.21659999999999,92.75,520.25,2012-2016
Liberia,1998000000.0,4450656.833333333,61.544000000000004,81.86666666666666,753.75,2012-2016
Libya,47962142988.13035,6242094.428571428,71.68883333333333,14.185714285714285,9.0,2012-2016
Liechtenstein,6198520402.860638,37249.5,82.40585365853657,,,2012-2016
Lithuania,44871975027.30034,2913115.1666666665,74.1878048780488,4.866666666666666,10.0,2012-2016
Luxembourg,60594156547.96923,563615.3333333334,82.00146341463416,2.6999999999999997,10.25,2012-2016
Madagascar,10406704711.44764,23932842.333333332,65.1194,49.18333333333334,377.0,2012-2016
Malawi,6107791197.969473,16739034.125,60.253,71.1625,632.3333333333334,2012-2016
Malaysia,297930010109.66125,30035037.714285713,74.80733333333333,7.628571428571429,43.4,2012-2016
Maldives,3639895316.408503,407066.71428571426,76.7325,9.571428571428571,73.0,2012-2016
Mali,12920061628.922623,16641717.25,56.44771428571429,121.46250000000002,616.1666666666666,2012-2016
Malta,10830005303.408003,441042.3333333333,81.60682926829267,6.55,9.5,2012-2016
Mauritania,5041875484.330415,4050487.8571428573,62.73783333333333,87.3,658.2,2012-2016
Mauritius,12310778666.52075,1261026.6666666667,74.16458536585367,14.266666666666666,53.75,2012-2016
Mexico,1155202470893.136,123669393.14285715,76.62383333333334,15.4,42.6,2012-2016
"Micronesia, Federated States of",321739090.4114286,104228.85714285714,68.92316666666666,35.41428571428571,104.6,2012-2016
"Moldova, Republic of",7189656589.641267,3556540.625,70.801,16.375,26.0,2012-2016
Monaco,,38231.166666666664,,3.5500000000000003,,2012-2016
Mongolia,11704618748.318401,2921238.1428571427,68.63566666666667,20.199999999999996,50.0,2012-2016
Montenegro,4357196136.459793,621263.5714285715,76.35716666666666,4.857142857142857,7.4,2012-2016
Morocco,101755220632.41016,33839409.666666664,74.79925,28.08888888888889,139.42857142857142,2012-2016
Mozambique,14276894451.819952,27638726.833333332,57.096999999999994,81.40000000000002,521.5,2012-2016
Myanmar,58041940343.960785,51621872.375,65.89257142857143,56.525,193.5,2012-2016
Namibia,12303601331.659399,2366240.5714285714,62.022833333333324,48.8,287.8,2012-2016
Nepal,19212411600.5954,27999323.777777776,68.90449999999998,40.87777777777778,311.0,2012-2016
Netherlands,822781529047.6237,16921248.833333332,81.42731707317073,4.05,7.0,2012-2016
New Zealand,181967347369.40363,4522175.0,81.23498257839721,5.7749999999999995,11.833333333333334,2012-2016
Nicaragua,12167625109.1835,6047732.666666667,74.87280000000001,18.9,156.75,2012-2016
Niger,7460980982.7166395,19202594.42857143,58.894666666666666,99.38571428571429,595.4,2012-2016
Nigeria,453567301800.827,176031863.57142857,52.2715,112.60000000000001,828.2,2012-2016
"North Macedonia, the Republic of",10676751667.023518,2078490.6666666667,75.3724,11.916666666666666,8.0,2012-2016
Norway,445538726478.67725,5118808.714285715,81.85243902439025,2.8285714285714287,5.2,2012-2016
Pakistan,247361787760.8658,185047215.85714287,65.94816666666667,82.15714285714286,192.0,2012-2016
Palau,262125683.33333334,21215.333333333332,,16.616666666666664,,2012-2016
"Palestine, State of",12055787500.0,4238466.0,72.956,22.2875,49.333333333333336,2012-2016
Panama,48480899328.57143,3894366.1428571427,77.479,17.88571428571429,98.4,2012-2016
Papua New Guinea,21208231584.29005,7839244.0,65.2354,58.06666666666666,221.5,2012-2016
Paraguay,25549339169.77739,6467196.0,72.6655,23.87777777777778,140.0,2012-2016
Peru,188399180143.5866,30768458.25,74.314,17.4375,77.0,2012-2016
Philippines,267688123229.26727,99301144.75,68.692,29.749999999999996,122.33333333333333,2012-2016
Poland,507173363463.5695,38007905.833333336,77.25024390243901,5.0,3.0,2012-2016
Portugal,218935822382.49368,10417649.57142857,80.58252032520328,3.728571428571428,10.4,2012-2016
Qatar,179414102564.1025,2404169.0,77.8874,8.166666666666666,13.25,2012-2016
Romania,187548472272.37772,19917506.57142857,74.62845528455284,9.885714285714286,30.6,2012-2016
Russian Federation,1836194552409.0227,143774775.85714287,70.6399593495935,8.957142857142857,25.6,2012-2016
Rwanda,8143902862.046315,11492471.5,66.10440000000001,44.099999999999994,312.0,2012-2016
Saint Kitts and Nevis,850732561.728395,53992.166666666664,,13.850000000000001,,2012-2016
Saint Lucia,1555592772.4867728,176223.0,75.01883333333333,17.557142857142857,50.0,2012-2016
Saint Vincent and the Grenadines,741862987.6543208,109500.0,72.92660000000001,17.8,45.75,2012-2016
Samoa,809422548.2704268,192927.5,74.4736,17.483333333333334,54.75,2012-2016
San Marino,1721626312.483968,32739.5,85.41707317073171,2.533333333333333,,2012-2016
Sao Tome and Principe,327509712.7376433,193498.33333333334,66.36779999999999,36.15,159.5,2012-2016
Saudi Arabia,703667484455.0619,31096433.166666668,74.23140000000001,8.85,12.25,2012-2016
Senegal,14846648337.17405,14768186.5,66.32260000000001,51.65,331.0,2012-2016
Serbia,42055998632.40165,7153083.0,74.91533101045297,6.725,16.333333333333332,2012-2016
Seychelles,1336352637.4847932,92258.33333333333,73.8458536585366,14.4,,2012-2016
Sierra Leone,3980631531.6246743,7059498.714285715,50.43266666666667,132.0142857142857,1474.0,2012-2016
Singapore,307406063792.51495,5489310.166666667,82.45512195121952,2.75,10.75,2012-2016
Slovakia,93040783898.47377,5413993.25,76.06898954703831,6.35,6.0,2012-2016
Slovenia,47397882218.6989,2057833.125,80.20975609756098,2.6875,8.833333333333334,2012-2016
Solomon Islands,1176122961.9516335,581465.3333333334,70.088,22.3,120.0,2012-2016
Somalia,6761593708.121829,13729649.666666666,55.480399999999996,137.85,762.75,2012-2016
South Africa,350326838687.2628,54416242.428571425,60.00183333333333,43.88571428571429,145.8,2012-2016
South Sudan,11023552470.826763,11702549.833333334,55.8,96.84999999999998,827.5,2012-2016
Spain,1321823664997.203,46564543.0,82.67073170731709,3.3714285714285714,5.0,2012-2016
Sri Lanka,71300448209.52985,20708429.875,74.7477142857143,10.262499999999998,32.666666666666664,2012-2016
Sudan,83191614317.0585,37361407.625,63.64,70.0125,328.6666666666667,2012-2016
Suriname,4465960224.606972,550420.5,71.1176,21.250000000000004,157.5,2012-2016
Sweden,520611703919.07526,9660314.875,81.87526132404182,2.9375,4.166666666666667,2012-2016
Switzerland,657502360857.649,8097527.222222222,82.68414634146345,4.411111111111111,5.571428571428571,2012-2016
Syrian Arab Republic,,19390319.0,70.316,17.242857142857144,60.0,2012-2016
Tajikistan,7692796352.435486,8365215.714285715,70.54816666666667,37.1,33.6,2012-2016
"Tanzania, United Republic of",46137217708.18308,53119439.666666664,64.1328,59.91666666666668,429.5,2012-2016
Thailand,409203577791.76996,68356081.85714285,74.77033333333334,11.028571428571427,21.2,2012-2016
Timor-Leste,4202942408.15384,1188114.888888889,67.92750000000001,55.599999999999994,273.85714285714283,2012-2016
Togo,4127467555.6162443,7207881.0,59.18150000000001,80.58571428571429,383.2,2012-2016
Tonga,438335555.6214768,106261.16666666667,72.73499999999999,16.833333333333332,129.25,2012-2016
Trinidad and Tobago,23914825238.567486,1351446.5714285714,70.27,28.62857142857143,63.4,2012-2016
Tunisia,44309949664.96931,11145091.0,75.28016666666667,14.62857142857143,63.8,2012-2016
Turkey,867224244576.4678,76456639.375,74.96728571428571,15.1375,19.0,2012-2016
Turkmenistan,35504674874.68671,5418441.375,67.31685714285713,53.1875,44.333333333333336,2012-2016
Tuvalu,37286656.00247133,11096.666666666666,,25.73333333333333,,2012-2016
Uganda,24321038200.482456,38565935.428571425,58.710499999999996,61.18571428571429,379.6,2012-2016
Ukraine,136027923543.14754,45365185.0,71.00439024390246,10.112499999999999,24.666666666666668,2012-2016
United Arab Emirates,365053972576.0965,9010332.285714285,76.84916666666668,8.600000000000001,6.0,2012-2016
United Kingdom,2717822781843.8984,64564964.28571428,80.92154471544715,4.614285714285714,9.4,2012-2016
United States,16812356777777.777,316307720.4444444,78.65975609756096,7.011111111111111,14.142857142857142,2012-2016
Uruguay,52633572406.68565,3418721.5714285714,77.09033333333333,9.314285714285715,16.2,2012-2016
Uzbekistan,56371561574.49067,30695971.42857143,70.83299999999998,28.114285714285717,37.4,2012-2016
Vanuatu,783998361.6269646,258145.85714285713,71.535,28.414285714285715,84.8,2012-2016
"Venezuela, Bolivarian Republic of",411550312133.9787,30941614.0,74.2056,22.400000000000002,97.0,2012-2016
Viet Nam,173387393177.02213,92010639.5,75.67285714285715,21.9875,55.5,2012-2016
Yemen,34097894838.90038,26247952.0,64.39033333333333,55.41428571428571,402.4,2012-2016
Zambia,24126119052.53779,15587180.142857144,59.937833333333344,69.17142857142856,239.4,2012-2016
Zimbabwe,14634472762.5,15228996.5,57.344571428571435,67.025,414.3333333333333,2012-2016
